tactic_id,media_type,num_bids_passed_budget_check,num_bids_failed_budget_check,click_score,conversion_score,cpm_bid,cpc_bid,cpa_bid,logtime,refresh_time,internal_bid_wins,viewability_score,in_target_score,cpv_bid,cpg_bid,date(logtime)
432857,1,23181,34149,0,162.83,999.92,0.00,0.00,4/20/2015 0:00,4/20/2015 4:27,1306,7098.45,0,0,0,4/20/2015
432857,1,37802,15904,0,547.67,999.75,0.00,0.00,4/20/2015 1:00,4/20/2015 5:27,1336,11666.70,0,7.99477E-05,0,4/20/2015
432857,1,25096,9473,0,97.52,993.78,0.00,0.00,4/20/2015 2:00,4/20/2015 6:27,1478,7548.89,0,0.000466344,0,4/20/2015
432857,1,13166,5145,0,167.68,999.33,0.00,0.00,4/20/2015 3:00,4/20/2015 7:27,1442,4197.06,0,0.001063509,0,4/20/2015
432857,1,8636,4420,0,199.21,1000.00,0.00,0.00,4/20/2015 4:00,4/20/2015 8:27,85,2830.20,0,0.000633646,0,4/20/2015
432857,1,4642,2554,0,27.42,998.15,0.00,0.00,4/20/2015 5:00,4/20/2015 9:27,0,1549.59,0,0.000462221,0,4/20/2015
432857,1,3154,1477,0,71.73,998.57,0.00,0.00,4/20/2015 6:00,4/20/2015 10:27,0,1016.88,0,0.000462417,0,4/20/2015
432857,1,3233,1149,0,92.47,997.72,0.00,0.00,4/20/2015 7:00,4/20/2015 11:27,0,1071.46,0,0.000462021,0,4/20/2015
432857,1,8252,2398,0,81.01,997.06,0.00,0.00,4/20/2015 8:00,4/20/2015 12:27,0,2476.36,0,0.000461719,0,4/20/2015
432857,1,13578,4476,0,110.01,998.23,0.00,0.00,4/20/2015 9:00,4/20/2015 13:27,1574,4577.20,0,0.000844515,0,4/20/2015
432857,1,32403,9187,0,102.27,997.13,0.00,0.00,4/20/2015 10:00,4/20/2015 14:27,1732,10948.97,0,0.000442634,0,4/20/2015
432857,1,51573,12227,0,235.29,998.45,0.00,0.00,4/20/2015 11:00,4/20/2015 15:27,2142,16970.35,0,1.82549E-05,0,4/20/2015
432857,1,65586,15293,0,495.55,995.08,0.00,0.00,4/20/2015 12:00,4/20/2015 16:27,2522,21879.62,0,5.90569E-06,0,4/20/2015
