GHCND:USC00045280,STATION,STATION_NAME,DATE,YEAR,MONTH,DAY,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT05,WT04,WT03
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19931231,1993,12,31,-9999,-9999,-9999,-9999,-9999,152,-9999,72,-78,-56,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940101,1994,1,1,-9999,-9999,-9999,-9999,0,0,0,94,-56,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940102,1994,1,2,-9999,-9999,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940103,1994,1,3,-9999,-9999,-9999,-9999,0,0,0,150,-39,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940104,1994,1,4,-9999,-9999,-9999,-9999,0,0,0,94,0,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940105,1994,1,5,-9999,-9999,-9999,-9999,0,0,0,33,-6,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940106,1994,1,6,-9999,-9999,-9999,-9999,0,0,0,0,-139,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940107,1994,1,7,-9999,-9999,-9999,-9999,0,0,0,6,-117,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940108,1994,1,8,-9999,-9999,-9999,-9999,0,0,0,22,-122,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940109,1994,1,9,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940110,1994,1,10,-9999,-9999,-9999,-9999,0,0,0,72,-128,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940111,1994,1,11,-9999,-9999,-9999,-9999,0,0,0,83,-78,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940112,1994,1,12,-9999,-9999,-9999,-9999,0,0,0,89,-106,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940113,1994,1,13,-9999,-9999,-9999,-9999,0,0,0,106,-100,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940114,1994,1,14,-9999,-9999,-9999,-9999,0,0,0,117,-100,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940115,1994,1,15,-9999,-9999,-9999,-9999,0,0,0,117,-100,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940116,1994,1,16,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940117,1994,1,17,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940118,1994,1,18,-9999,-9999,-9999,-9999,0,0,0,122,-61,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940119,1994,1,19,-9999,-9999,-9999,-9999,0,0,0,128,-61,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940120,1994,1,20,-9999,-9999,-9999,-9999,0,0,0,133,-61,-9999,-9999,-9999,-9999,-9999
