adv_impressions,spend,adv_thisday_conversions,cost,adv_clicks,rfi_thisday_conversions_click_through,rfi_thisday_conversions,device,date,line_item,tactic,line_item_id,tactic_id,publisher,campaign,views_source,clicks_source,conversions_source,thisday_conversions_source
60.48833365416941,0.23288008456855216,0,0.08982844666731245,0,0,0,COMPUTER,2015-05-08,"Constellation Wines Restauranteurs","Optimization Model",226351,532795,PubMatic,"Constellation Wines (Ruffino) 2015 branding (RGM Group) <AC>. May - Dec 2015",0,0,NULL,NULL
3464.98220280171,13.34018148078658,0,5.996621442553522,4,0,0,COMPUTER,2015-05-08,"Constellation Wines Restauranteurs","Optimization Model",226351,532795,AppNexus,"Constellation Wines (Ruffino) 2015 branding (RGM Group) <AC>. May - Dec 2015",0,0,NULL,NULL
1.0279329608938548,0.003957541899441341,0,0,0,0,0,ANDROID_MOBILE,2015-05-08,"Constellation Wines Restauranteurs","Optimization Model",226351,532795,"Google AdX","Constellation Wines (Ruffino) 2015 branding (RGM Group) <AC>. May - Dec 2015",3,0,NULL,NULL
1833.2617864866181,7.055944408585724,0,2.092342813941391,5.166666666666667,0,0,COMPUTER,2015-05-08,"Constellation Wines Restauranteurs","Optimization Model",226351,532795,"Google AdX","Constellation Wines (Ruffino) 2015 branding (RGM Group) <AC>. May - Dec 2015",3,0,NULL,NULL
2.10965347981067,0.008122165897271081,0,0,0.6666666666666666,0,0,IPHONE,2015-05-08,"Constellation Wines Restauranteurs","Optimization Model",226351,532795,"Google AdX","Constellation Wines (Ruffino) 2015 branding (RGM Group) <AC>. May - Dec 2015",3,0,NULL,NULL
799.8209135961245,3.0793105173450783,0,0.9111072976884729,0,0,0,COMPUTER,2015-05-08,"Constellation Wines Restauranteurs","Optimization Model",226351,532795,AOL,"Constellation Wines (Ruffino) 2015 branding (RGM Group) <AC>. May - Dec 2015",0,0,NULL,NULL
33.52547081359058,0.12907306263232374,0,0.026991531000000006,0,0,0,COMPUTER,2015-05-08,"Constellation Wines Restauranteurs","Optimization Model",226351,532795,Lijit,"Constellation Wines (Ruffino) 2015 branding (RGM Group) <AC>. May - Dec 2015",3,0,NULL,NULL
2.10675416886537,0.008111003550131675,0,0,1.6666666666666665,0,0,COMPUTER,2015-05-08,"Constellation Wines Restauranteurs","Optimization Model",226351,532795,"Casale Media","Constellation Wines (Ruffino) 2015 branding (RGM Group) <AC>. May - Dec 2015",3,0,NULL,NULL
2.539451114922813,0.009776886792452831,0,0,1.5,0,0,ANDROID_MOBILE,2015-05-08,"Constellation Wines Restauranteurs","Optimization Model",226351,532795,"Casale Media","Constellation Wines (Ruffino) 2015 branding (RGM Group) <AC>. May - Dec 2015",3,0,NULL,NULL
36.430033710943604,0.1402556297871329,0,0,0,0,0,COMPUTER,2015-05-08,"Constellation Wines Restauranteurs","Optimization Model",226351,532795,PulsePoint,"Constellation Wines (Ruffino) 2015 branding (RGM Group) <AC>. May - Dec 2015",3,0,NULL,NULL
11.444444743561135,0.044061112262710374,0,0.03360258497756294,0,0,0,COMPUTER,2015-05-08,"Constellation Wines Restauranteurs","Optimization Model",226351,532795,Centro,"Constellation Wines (Ruffino) 2015 branding (RGM Group) <AC>. May - Dec 2015",0,0,NULL,NULL
276.8344156466195,1.0658125002394851,0,0,0,0,0,COMPUTER,2015-05-08,"Constellation Wines Restauranteurs","Optimization Model",226351,532795,NULL,"Constellation Wines (Ruffino) 2015 branding (RGM Group) <AC>. May - Dec 2015",3,0,NULL,NULL
6899.195307685483,26.56190193458911,0,4.294528037985598,0.9000000000000001,0,0,COMPUTER,2015-05-09,"Constellation Wines Dining Consumers","Optimization Model",226349,532793,OpenX,"Constellation Wines (Ruffino) 2015 branding (RGM Group) <AC>. May - Dec 2015",0,0,NULL,NULL
1.067876294718284,0.004111323734665394,0,0.00030098488269592353,0,0,0,OTHER,2015-05-09,"Constellation Wines Dining Consumers","Optimization Model",226349,532793,OpenX,"Constellation Wines (Ruffino) 2015 branding (RGM Group) <AC>. May - Dec 2015",0,0,NULL,NULL
